Index,pl_name,hostname,ra,dec,sy_gaiamag,sy_dist
82,HD 189733 b,HD 189733,300.1821223,22.7097759,7.41432,19.7638
83,HD 20794 c,HD 20794,49.9997666,-43.0666533,4.06635,6.00278
84,HD 20794 d,HD 20794,49.9997666,-43.0666533,4.06635,6.00278
85,LHS 1140 b,LHS 1140,11.248632,-15.2741085,12.6706,14.9861
86,TOI-421 b,TOI-421,81.8532824,-14.2767404,9.77776,74.7969
87,HD 100655 b,HD 100655,173.7653631,20.441541,6.17883,137.178
88,HD 155358 b,HD 155358,257.3930947,33.3549277,7.12074,43.6197
89,HD 79498 b,HD 79498,138.7885794,23.3748792,7.8859,48.9489
90,CHXR 73 b,CHXR 73,166.6193985,-77.6258725,17.2934,190.374
91,HD 13189 b,HD 13189,32.4173964,32.3164548,7.01743,497.823
92,GJ 433 b,GJ 433,173.8619194,-32.5436302,8.89138,9.06456
93,alf Ari b,alf Ari,31.793286,23.462421,2,20.21019
94,tau Gem b,tau Gem,107.7847232,30.2449545,4.03996,112.537
95,Kepler-370 c,Kepler-370,292.1710683,40.9162381,15.1595,1167.94
96,Kepler-400 b,Kepler-400,290.9444679,40.4800528,13.8395,845.97
97,Kepler-221 b,Kepler-221,296.6547477,46.8352242,13.7486,385.231
98,Kepler-367 c,Kepler-367,297.292558,49.9817499,12.8482,188.027
99,Kepler-393 c,Kepler-393,290.995205,45.192188,13.1783,881.404
100,Kepler-304 c,Kepler-304,294.4418031,40.5575408,14.8308,434.684
101,Kepler-360 b,Kepler-360,286.2847077,44.7815817,14.8128,876.044
102,Kepler-101 c,Kepler-101,283.255507,48.3552474,13.5672,927.981
103,Kepler-243 c,Kepler-243,285.1104819,42.0339619,15.0573,693.86
104,Kepler-261 c,Kepler-261,291.3647333,37.609239,13.5287,317.499
105,Kepler-327 d,Kepler-327,292.6422963,44.0876251,14.9804,241.987
106,Kepler-136 b,Kepler-136,296.4673039,42.5987984,11.7544,420.818
107,Kepler-122 d,Kepler-122,291.1118647,39.9490248,14.2223,1027.45
108,Kepler-157 c,Kepler-157,291.0972257,38.8756049,14.0374,773.713
109,Kepler-147 c,Kepler-147,287.9757213,39.087168,13.9151,1042.02
110,Kepler-239 b,Kepler-239,294.2020505,40.6633313,15.2333,648.109
111,Kepler-200 b,Kepler-200,284.4099503,41.2374928,13.9518,665.912
112,Kepler-243 b,Kepler-243,285.1104819,42.0339619,15.0573,693.86
113,Kepler-160 c,Kepler-160,287.773573,42.8692755,14.616,937.013
114,Kepler-254 b,Kepler-254,288.1646541,45.8164257,15.8379,1389.48
115,Kepler-172 c,Kepler-172,283.3684093,41.821839,14.5369,828.592
116,Kepler-299 c,Kepler-299,283.2070156,48.5805222,15.0103,1052.24
117,Kepler-278 c,Kepler-278,290.1072124,38.7022694,11.5296,443.03
118,Kepler-339 d,Kepler-339,293.351701,48.4445922,14.5134,616.637
119,Kepler-399 b,Kepler-399,299.5017242,40.6707669,14.5277,740.537
120,HD 219415 b,HD 219415,348.7243579,56.7303001,8.59745,165.184
121,Pr0201 b,Pr0201,130.4324005,20.2268164,10.3508,180.64
122,HD 207832 b,HD 207832,328.1517893,-26.0271749,8.61176,58.9291
123,HD 207832 c,HD 207832,328.1517893,-26.0271749,8.61176,58.9291
124,HD 145457 b,HD 145457,242.5162215,26.7429068,6.28309,135.292
125,WASP-176 b,WASP-176,313.6872928,9.1790688,11.9392,568.42
126,HD 210702 b,HD 210702,332.9638643,16.0404806,5.6807,54.1963
127,HD 167042 b,HD 167042,272.6326268,54.2876184,5.72384,49.6633
128,nu Oph b,nu Oph,269.7566013,-9.7741342,3.09653,46.2107
129,75 Cet b,75 Cet,38.0391598,-1.0350269,5.09343,82.9613
130,omi UMa b,omi UMa,127.5649503,60.7177048,3.14432,54.9149
131,HD 4732 b,HD 4732,12.3085089,-24.1369079,5.6509,54.7841
132,HD 99492 b,HD 99492,171.689687,3.0071331,7.26005,18.2038
133,TOI-1937 A b,TOI-1937 A,116.3707214,-52.3832587,13.0168,415.135
134,TrES-5 b,TrES-5,305.2219454,59.4489033,13.4599,360.313
135,HAT-P-53 b,HAT-P-53,21.8711012,38.9681137,13.5142,666.802
136,TOI-3235 b,TOI-3235,207.4738488,-46.0665139,14.4858,72.811
137,TOI-2525 b,TOI-2525,86.8509737,-60.5213081,14.012,395.398
138,TOI-4308 b,TOI-4308,327.7530693,-43.5623642,10.8645,108.932
139,NGTS-17 b,NGTS-17,72.9005729,-34.2262128,14.2136,1040.28
140,TOI-1135 b,TOI-1135,193.3963704,85.1294952,9.41353,114.048
141,HAT-P-2 c,HAT-P-2,245.1514324,41.0479601,8.59842,127.774
142,NGTS-25 b,NGTS-25,307.4182976,-39.0323568,14.0864,521.233
